x,y,Pass,Range,V3.DW,R5.DW,V3.foliar,V3.root,R5.foliar,R5.root,PreSCN.cysts,PreSCN.eggs,PreSCN.juvs,PreSCN.eggsjuvs,PreSCN.total,Pre.spiral,PostSCN.cysts,PostSCN.eggs,PostSCN.juvs,PostSCN.eggsjuvs,PostSCN.total,Post.spiral,Post.lesion,Pre.DNA,Pre.qPCR,Pre.ratio,V3.qPCR,R5.qPCR,Post.qPCR,Yield,R4.DI,R4.DS,R4.DX,R5.DI,R5.DS,R5.DX,R6.DI,R6.DS,R6.DX
0.381,1.524,1,1,0.49,4.42,2.17,73.33,1.83,43.33,47,3040,1600,4640,4687,8,14,1320,100,1420,1434,0,0,48.01333333,101.0509186,0.001052321,5.650560379,5.135784149,1443.869202,,,,,,,,,,
0.381,4.572,1,1,0.47,2.05,1.33,66.67,0.67,60,84,6080,2720,8800,8884,24,37,3120,400,3520,3557,0,0,42.32666667,74.88434474,0.0008846,5.492408752,3.657419205,770.4992167,,,,,,,,,,
0.381,7.62,1,2,0.59,1.27,0.83,83.33,1.83,56.67,50,3520,960,4480,4530,176,74,5120,480,5600,5674,8,0,38.3,24.13887533,0.000315129,5.268123627,5.540107727,586.3316193,,,,,,,,,,
0.381,10.668,1,2,0.75,3.58,0,36.67,1.67,20,43,3280,880,4160,4203,24,47,3240,560,3800,3847,72,0,30.67666667,79.68768819,0.001298832,4.551263809,4.745651245,652.3465169,,,,,,,,,,
0.381,13.716,1,3,0.51,2.99,1.17,65,0.83,35,15,1160,280,1440,1455,16,63,3520,160,3680,3743,0,0,38.36333333,75.52957662,0.000984398,6.04834938,2.136238098,538.7176921,,,,,,,,,,
0.381,16.764,1,3,0.82,3.28,0.67,35,2.67,63.33,27,2040,360,2400,2427,16,58,4000,480,4480,4538,32,0,36.15,80.18915049,0.001109117,5.14888382,4.516784668,271.9036306,,,,,,,,,,
0.381,19.812,1,4,0.56,3.54,1.5,45,2,58.33,46,3680,640,4320,4366,24,57,4000,640,4640,4697,0,0,35.87,39.80379359,0.000554834,5.365484238,6.54416275,287.1077143,,,,,,,,,,
0.381,22.86,1,4,0.55,3.34,4.33,68.33,0.67,46.67,87,8120,1600,9720,9807,40,41,2480,480,2960,3001,104,0,39.11,100.7123617,0.001287553,6.513511658,5.390737534,597.4974213,,,,,,,,,,
0.381,25.908,1,5,0.46,4.19,1.67,25,0,53.33,34,2800,560,3360,3394,0,31,1600,320,1920,1951,56,0,36.76333333,92.6760966,0.001260442,3.482772827,4.165042877,589.76415,,,,,,,,,,
0.381,28.956,1,5,0.73,2.65,0.17,33.33,1.83,36.67,9,580,160,740,749,0,54,3840,640,4480,4534,112,0,77.18333333,98.58471425,0.00063864,3.14299202,6.223255157,723.1152751,,,,,,,,,,
0.381,32.004,1,6,0.48,2.41,2.33,65,0.33,36.67,34,4440,560,5000,5034,88,24,1840,200,2040,2064,120,0,88.41666667,123.4045258,0.000697858,4.413738251,4.174476624,648.961731,,,,,,,,,,
